"","Field1","Project_Ti","Grantee","Grantee_Ty","Project_Sp","County","Project_La","Amount_Spe","Practices","Project_Su","Town","Zip_Code","Cropland","Rangeland","Orchard","Subsistenc","Forest_Lan","Wildlife_H","Cover_crop","Planting_h","Establishi","No_till_co","Multi_crop","Crop_lives","Planned_gr","Bale_grazi","Mulching","Compost_ap","Microbial_","Wetland_ri","Other","Eligible_E","Creator","Editor","X","Y","FID","EditDate","CreationDa","Acres","Project_Ye"
"1",1,"Pilot Project to Improve Soils at Villanueva Fields","Villanueva Fields Farm","Individual Applicant","Tierra y Montes SWCD","San Miguel","Cropland",2731.79,"No-till; subsoil plowing","Transform dirt to healthy, regenerating soil on 6 acequia-irrigated acres with low fertility, so that food and cover crops grow sucessfully, and vigor and diversity improve, via these three objectives: 1. Improve my long-term soil improvement plan by working with soil health consultants to diagnose problems and refine farm practices to keep living roots in the soil and maximize soil and plant biodiversity. This will improve my ability to keep soil covered.
2. Purchase and/or contract equipment to help jumpstart soil improvement to address compaction that is inhibiting the establishment of roots by using a subsoil plow on 2 acres and address poor plant diversity by using a no-till drill on 5 acres (1 acre overlap).
3. Enrich the local agricultural community by involving neighbors and youth in the process of learning to improve area soils, so the community has more diverse and current models long-term agricultural, economic and biological success and diversity.","Villanueva
",87583,"Y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","Y","Tierra y Montes SWCD","NMSU_SparcLab","NMSU_SparcLab",-11729374.4922,4199458.7325,1,"2023-06-11","2023-06-11",6,2020
"2",2,"Reduced tillage with permanent raised bed establishment and living mulch trial to improve soil health in furrow irrigated specialty crop production.","NMSU Cooperative Extension","Individual Applicant","N/A","Valencia","Cropland; Urban Garden",8789,"Diverse cover crop; conservation tillage; living mulch; pollinator habitat","During the 2020 production season, a pilot study will be conducted to 1) establish reduced tillage, permanent raised bed production (PRB) research sites and 2) select living mulch cultivars that provide a) nutrients, cover, and a living root to normally exposed soil, b) a floral resource for pollinators, and c) act as a secondary crop for producers. The combination of these practices will reduce erosion and the impact of furrow irrigation on soil health and structure.","Los Lunas",87031,"Y","N","N","Y","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","Y","NMSU Cooperative Extension Service","NMSU_SparcLab","NMSU_SparcLab",-11884520.6124,4132551.3856,2,"2023-06-11","2023-06-11",2,2020
"3",3,"Using Cover Crops/Livestock/Adaptive Grazing to Restore Soil Health","CS Ranch","Individual Applicant","Colfax SWCD","Colfax","Cropland; Rangeland",7845.66,"Diverse cover crop; no-till; rotational grazing; rangeland grass restoration","This project will address an old alfalfa/brome hay field (South Hayward Field) that was farmed/hayed for decades, beginning in the 1930’s. The 360 acres has not been irrigated since 2008. The drought and lack of irrigation caused this field to decline rapidly in the last 10 years with over 50% bare ground on parts of the farmed areas of this 748-acre field. Planting a diverse cover crop with a no-till drill in the spring of 2020, applying high-intensity adaptive grazing with cattle during the growing season will significantly speed up the process of re-establishing armor/cover on the field to improve soil health.","Cimarron",87714,"Y","Y","N","N","N","N","Y","N","Y","Y","N","N","Y","N","N","N","N","N","N","Colfax SWCD","NMSU_SparcLab","NMSU_SparcLab",-11677188.5999,4370017.3539,3,"2023-06-11","2023-06-11",360,2020
"4",4,"New Beginnings: Use of Ground Cover and Livestock to Improve Soil Health","M-Scar Farm & Ranch
","Individual Applicant","Colfax SWCD","Colfax","Cropland; Rangeland",17393.25,"Restoring conservation grass cover; no-till seeding; intensive grazing & stockwater development; bale grazing","Covering the ground with multiple species of plants is important for improving soil health.  This project will utilize both warm and cool season seed mixes to plant cropland and pastureland to regenerate soil.  Integration of livestock will add fertilizer and incorporate organic matter into the ground.  Using this project as a backdrop for educating children in the ways of generating healthy soil is a viable agricultural setting for future generations.","Maxwell",87728,"Y","Y","N","N","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","Colfax SWCD","NMSU_SparcLab","NMSU_SparcLab",-11645473.6913,4376748.5173,4,"2023-06-11","2023-06-11",410,2020
"5",5,"Semillas de Los Griegos Community Garden Soil Enhancement Project","Semillas de Los Griegos Community Garden","Individual Applicant","Ciudad SWCD","Bernalillo","Urban Garden",698.05,"Diverse cover crop, no-till, compost production & application; pollinator habitat; hedgerows
","Our garden is located on 5 acres of deserted baseball fields, which have been lying fallow for 5 years. The soil is poor and compacted, with minimal vegetation to prevent wind erosion. Our objectives are to improve the capacity of the soil to function as a vital, living ecosystem that sustains plants, animals, and humans.","Albuquerque",87107,"N","N","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","N","Y","N","N","Y","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11873929.2701,4182266.1473,5,"2023-06-11","2023-06-11",5,2020
"6",6,"Healthy Soil Program Proposal","Bo Wallace","Individual Applicant","Canadian River SWCD","Quay","Cropland",2988.03,"Cover crop; ditch lining","My proposal for the Healthy Soil Program is to improve soil conditions on a 80 acre farm located near Tucumcari, New Mexico. I would achieve this by increasing biodiversity, improving soil coverage, and reducing water waste. My first objective is to establish a 20 acre alfalfa field that is currently being used for wheat. Planting a perennial crop would reduce soil distubance and provide year round soil coverage. The importance of this would be to recude the current loss of top soil to high winds. The second objective is to reduce water waste by lining a dirt irrigation ditch and reservoir that is currently being used on the farm.","Tucumcari",88401,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Canadian River SWCD","NMSU_SparcLab","NMSU_SparcLab",-11534480.4163,4183492.9251,6,"2023-06-11","2023-06-11",20,2020
"7",7,"Rio Fernando Park: Regenerative Agriculture Restoration Project","Taos Land Trust","Individual Applicant","N/A","Taos","Cropland",17391.49,"Diverse cover crop; no-till; compost application; pollinator habitat","An extensive community Master Planning process helped to define the vision for the park, part of which matches our goal under this grant program: to operate as an agricultural demonstration area for the practice of healthy soil principles and regenerative ag practices. To this end, approximately 8 of the 20 acres is being farmed and restored towards functioning, productive agrciultural use. Specifically, we will plant 6 acres with rye, wheat, and barley using a no-till seeder; the remaining 2 acres will be planted as native pollinator habitat. All 8 acres will be flood-irrigated and treated with soil amendments; high-quality compost created on the property will be spread as compost extract to further encourage microbial health.","Taos",87514,"Y","N","N","N","N","N","Y","N","Y","Y","N","N","N","N","N","Y","N","N","N","Vigil y Romo Acequia","NMSU_SparcLab","NMSU_SparcLab",-11753870.6797,4355750.559,7,"2023-06-11","2023-06-11",8,2020
"8",8,"Building Soil for our Future","Cecilia Rosacker","Individual Applicant","Socorro SWCD","Socorro","Cropland",610,"Diverse cover crop, conservation till; livestock integration in cropland","On our 28 acre flood irrigated farm located in Polvadera, New Mexico, we would like to do trials on 8 acres to regenerate the soil and improve soil health in order to improve crop production. We currently raise livestock (mainly cows and occasionally chickens and pigs) on our pastured fields and we grow two acres of specialty vegetable crops for sale to restaurants, grocery stores, and farmers markets. We have always practiced cover cropping, rotational grazing, and crop rotational gardening and would like to continue this practice and expand it to our other fields.","Polvadera",87823,"Y","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","Socorro SWCD","NMSU_SparcLab","NMSU_SparcLab",-11901588.859,4056154.0293,8,"2023-06-11","2023-06-11",8,2020
"9",9,"Berm & Swale ""HugelKeltur"" Runoff Catchment Food Forest","Wildharber Farm","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",1722.09,"Diverse cover crop; mulching; Hugelkultur","I intend to use a German method of growing called ""hugelkultur"", in which logs, brush, and mulch are buried and covered with soil to create growing mounds with rich organic matter interiors. In New Mexico, I have adapted this method to be more subterranean and in a floodirrigated system because of our arid climate. I have found that this method works well to keep the soil covered, minimize soil disturbance on cropland, maximize biodiversity, and maintain a living root. I will also plant a food forest and local cover crops to maximize the efforts of regenerating the soil.","Española",87532,"Y","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","Y","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11807905.1174,4295388.2497,9,"2023-06-11","2023-06-11",0,2020
"10",10,"Re-establishing Soil Health on a Family Farm with Deep Roots","El Rincon Farm","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",9426.31,"Cover crop; no-till; mulching; livestock integration on cropland","Our overarching purpose is to improve compromised soil on 2 acres of a larger, 25-acre family run farm to establish long term fertility, create resilience to the changing climate, and to jumpstart a regenerative model guiding the family practices on the remaining acreage.","Chimayo",87522,"Y","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","Y","N","N","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11791954.9462,4301966.2104,10,"2023-06-11","2023-06-11",2,2020
