ID,Layer_1,ObsDate,County,County_lsad,SWCD_name,Year,shape,Land_Cover_Class,Description,
1,52,10/5/2000,Cibola,Cibola County,Valencia,2000,c(-107.30963, 34.86833),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
2,52,8/17/2002,San Juan,San Juan County,San Juan,2002,c(-107.9815, 36.94754),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
3,95,10/31/2003,Grant,Grant County,Grant,2003,c(-108.60368, 32.82812),Emergent Herbaceous Wetlands,"Areas dominated by herbaceous vegetation, including grasses and sedges, and saturated or flooded for a significant portion of the year."
4,42,8/24/2000,Socorro,Socorro County,Salado,2000,c(-107.48608, 33.8783),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
5,42,8/7/2001,San Juan,San Juan County,NA,2001,c(-108.82682, 36.10263),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
6,42,8/7/2001,San Juan,San Juan County,NA,2001,c(-108.84138, 36.09644),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
7,52,8/7/2001,San Juan,San Juan County,NA,2001,c(-108.85627, 36.09812),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
8,42,8/8/2001,San Juan,San Juan County,NA,2001,c(-108.86824, 36.07465),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
9,52,8/8/2001,McKinley,McKinley County,NA,2001,c(-108.88068, 35.92574),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
10,42,8/8/2001,McKinley,McKinley County,NA,2001,c(-108.81571, 35.99942),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
11,42,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.89039, 35.92021),Evergreen Forest,Areas dominated by trees where 75% or more of the trees remain green all year.
12,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.89199, 35.87365),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
13,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.93573, 35.94455),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
14,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.94991, 35.93382),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
15,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.95168, 35.93304),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
16,52,8/9/2001,McKinley,McKinley County,NA,2001,c(-108.95168, 35.93304),Shrub/Scrub,Areas dominated by shrubs; less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation.
