date,sub_id,tot_rev_score,avg_rev_score,rev_stage,name,title,acres_map,acres_edrr,acres_trt,summary,amount_req,amount_match,amount_fed
2024-07-24T09:11:51MDT,6273eab5-17cd-4f79-a190-1c4307ca7372,270,67.5,Scoring,Ute Creek SWCD,Canadian River Noxious Weed Treatment,NA,NA,64,"Hand Treatment, Cut Stump and Chemical Treatment of Siberian Elm, Saltcedar and Musk Thistle will be performed along the Canadian River Watershed partnering with US Forest Service and the Canadian River Riparian Restoration Project. The project is within an area that was previously treated by aerial application of herbicide using a helicopter equipped with GPS applying Amazapere to remove Saltcedar (which is not effective in the treatment of Siberian Elm); this follow up treatment using Cut Stump method and applying Garlon 4 (Triclopyr) to Elm and resprouts of Saltcedar and using Milestone (Amenopyralid) to treat Musk Thistle. The Canadian River Noxious Weed Treatment is a small portion of a larger watershed scale project which includes 8 Soil and Water Conservation Districts working together under a Joint Powers Agreement plus 21 state and federal agencies.",59 934,20 000,NA
2024-07-24T16:26:33MDT,aa8f2ced-4b34-4dd1-ae25-c47c5fe54e09,186,46.5,Scoring,Salado Soil and Water Conservation District,Initial Noxious Weed Mapping,2 000 000,NA,NA,"This project will be the first on its kind. Salado has no noxious weed mapping of any kind. This project is designed to map all the acres included in the boundaries of the soil and water conservation district. The contractor will contact landowners and explain the project, receive permission to map their land. Mark the noxious weeds, give a summary to the landowner and keep an updated electronic map. The project will be scheduled to begin January with the contractor contacting the landowners for permissions. February thru May will be the actual mapping. June will be the final report and completion of the project.",40 078.5,2 620,NA
2024-07-24T16:57:01MDT,a04a60b5-4c2c-4141-aed2-0d45dcae3117,148,37,Scoring,Quemado SWCD,Initial Noxious Weed Mapping,1 600 000,NA,NA,"Quemado has no noxious weed mapping of any kind. This project is designed to map all the acres included in the boundaries of the soil and water conservation district. The contractor and the district employee will contact landowners and explain the project. At this time permission to map their land will be acquired. Mark the noxious weeds, give a summary to the landowner and keep an updated electronic map. The project will be scheduled to begin January with the contacting of landowners. February thru May will be the actual mapping. June will be the final report and completion of the project.",40 078.5,2 620,NA
2024-07-29T12:18:55MDT,6843745f-88fa-4287-b45d-d7f9dd68c749,286,71.5,Scoring,Socorro Soil & Water Conservation District,Socorro SWCD Holmes Property Continuing Habitat Restoration,NA,NA,16.34,"The Holmes property is on the East Side of the Rio Grande, directly across the river from Socorro, NM.  The property is bordered on the north by NMDGF land, and on the south by BLM (public) land.  This site is a popular place for local residents to sightsee, photograph, hunt, fish and enjoy easy access to the Rio Grande, made possible by the large arroyo running through the middle of it, and, more importantly, Mr. Holmes' desire to keep the land fully accessible.  Although it is his private land, he has allowed NMDGF to install signage, and he even installed a non-locking gate to ease access.  In 2007, the Socorro SWCD, using NMERD funding and state funding, contracted for 20.2 acres of non-native phreatophyte extraction and mulching.  Due to the infestation level, this left little vegetation remaining, save a small grove of old growth Rio Grande Cottonwood.  Following 7,220' of fencing, we planted 100 Rio Grande Cottonwood and Goodding's Black Willow trees, 250 assorted native shrubs, and broadcast 250 pounds of native grass seed.  The poles and shrub planting was aided by a soil salinity survey, helping us target the best spots for revegetation.  Following a wildfire in 2023, the property is now in need of fence repair, noxious species treatment, and further planting.",59 252.6,18 419.52,NA
2024-07-29T12:53:16MDT,4c4c18f9-578b-4b4d-b19e-3583c012c327,289,72.25,Scoring,Sierra Soil and Water Conservation District,Tiffany Basin Saltcedar Resprout Treatment,400,NA,100,"To continue efforts towards restoration of riparian habitat impacted by the June 2017 Tiffany Fire, near San Marcial in Socorro County, Sierra SWCD, NM Ranch Properties, the Save Our Bosque Task Force, and New Mexico State Forestry have been working together to control noxious Saltcedar that became prevalent within the burn scar. Over the years since the fire, Saltcedar has been mechanically treated using grant dollars provided by various agencies including Water Trust Board and NM State Forestry. Mechanical treatment consisted of one of two methods: (1) mowing standing Saltcedar or (2) extracting Saltcedar with an excavator and mulching/spreading slash material. Areas that were mowed resulted in an increased number of resprouts compared to areas that were extracted. However, some locations within the project area could not be reached by any type of machinery due the number of down cottonwood skeletons caused by the fire. We plan to conduct a foliar application of herbicide during late September through early October. The selected contractor, will use an adaptive mixture of ground and aerial drone herbicide application. We would like to see continuous areas where harmful noxious weeds have been removed, allowing more desirable native plants to establish and thrive, thus restoring valuable riparian habitat. Sierra SWCD will host an education and outreach presentation that landowner and agency personnel will be invited to attend where they can see drone herbicide application and discuss the importance of responsibly treating noxious weeds.",59 400,6 000,NA
2024-07-29T16:45:31MDT,9a40f5e2-ac19-45cd-8ee0-61bfa042bcec,277,69.25,Scoring,Santa Clara Pueblo,Santa Clara Pueblo Invasive Plant Species Management Plan,NA,NA,22,"The management and control of invasive species on Santa Clara Pueblo lands is a deemed priority and the Pueblo has already acquired and spent millions of dollars restoring riparian areas along the Rio Grande and Santa Clara Creek to protect riparian and wetland resources. Control efforts in other locations including agricultural fields along the Rio Grande have made a substantial difference. Although most large invasives have been removed, resprouting continues and the agricultural habitats need routine work to keep up with and improve the progress already made. 
For weed management on Santa Clara Pueblo, water stations include large capacity storage, pressurized systems, and underbody sprayers to be used at reducing invasive species spread and would ultimately save land managers hours of time for invasive weed removal. The timeline for our project begins in September of 2024 and will include seasonal weed removal activities 2 to 3 times throughout the fall and winter and early spring months which will conclude prior to June 30th, 2025. The Santa Clara Pueblo Department of Agriculture and Department of Forestry will be completing the field work within the areas of Santa Clara Pueblo. 
",59 998,5 999,NA
2024-07-29T16:48:07MDT,245ff2f0-59b3-4002-8861-4f33deb2af22,274,68.5,Scoring,Colfax Soil and Water Conservation District,White Peak Landscape Invasive Thistle Mapping and Treatment,497,NA,497,"Since 2007 the White Peak Landscape has been a focal area for forest restoration and fuels reduction, managed by the New Mexico State Land Office (NMSLO). Active forest management including forest thinning, prescribed fire, and removal of forest products have been essential to increasing ecosystem resilience to wildfire and reduce detrimental impacts of wildfire to the surrounding communities and watershed. Canada thistle has been persistent in presence and spread despite a robust native vegetation response following forest management activities. These noxious weeds have hindered the recovery of native species. While native vegetation is well adapted to frequent, low intensity fire at the project area, the presence of non-native, noxious plants shifts the competitive balance and creates a more undesirable understory composition following prescribed fires. 
NMSLO proposes to integrate yearly surveys and herbicide treatments into forest management activities. Over five years NMSLO will perform an annual pedestrian survey to detect and map occurrences of noxious weeds. Funds made available from this grant will help to provide the first year of treatments and mapping, kicking off a five-year total effort from NMSLO. Herbicide applications would be applied to targeted noxious species, with a focus on Canada thistle (Cirsium arvense), as well as musk thistle (Carduus nutans), Scotch thistle (Onopordum acanthium), and bull thistle (Cirsium vulgare). After a period of five years following effective treatments, management will shift, prioritizing early detection and treatment of subsequent occurrences. Following new forest management treatments,  heightened awareness and survey would take place for that specific treatment unit.   
",59 884,50 000,NA
2024-07-29T23:26:48MDT,949fab0c-53e5-4c9a-acb6-f502f0dee9d8,273,68.25,Scoring,Boy Scouts of America - Philmont Scout Ranch,Crater Lake Noxious Weed Treatment,420,420,420,"Philmont Scout Ranch has a long-standing history of doing responsible and effective land management which includes extensive work with the Colfax County Soil and Water Conservation District to combat noxious weeds on Philmont Scout Ranch, Vermejo Park Ranch and the Valle Vidal. 

Over the past 13 years, Philmont has undertaken significant efforts to inventory and treat noxious weeds, employing extensive chemical, manual and biological control methods. This grant will enable Philmont to further treat acres of noxious weeds which complements previous efforts and ongoing projects. Since 2023, Philmont has initiated restorative thinning plans in two units on the ranch covering a total of 900 acres. Within the Crater Restorative Thinning Unit ground disturbance from machinery has primed the area for higher-than-normal infestation of noxious weeds. Within the treatment unit there is a vast road and trail network along with stream channels that all can act as a mode for seed to rapidly disperse and move into other areas of lesser concern.  As part of a holistic land management approach, this project will address the need for treatment of know species in the unit (musk, bull and scotch thistle) and implement EDRR (hoary cress, yellow toadflax and canada thistle).  

The project area covers 420 acres in total which has been under ongoing treatment of noxious weeds for the past three years. Utilizing seasonal staff for herbicide treatments and conducting mechanical removal workdays with volunteer labor. A contract sprayer will be utilized to effectively treat the extensive acreage in this unit.",57 200,16 686,NA
2024-07-30T05:53:19MDT,d9b8322f-4b31-4587-9670-e037d201389c,228,57,Scoring,Otero Soil and Water Conservation District,Precision Weed Mapping in Otero County,10 000,NA,NA,"Otero Soil and Water Conservation District has a very active Noxious Weed Management Program.  The only component we do not have the staffing for is the surveying/mapping of populations. We plan to change that by hiring a contractor to map African Rue utilizing a drone.  In September we will do the contracting so that the work can begin immediately while African Rue is active before the fall treatment window.  This will help us pinpoint any satellite locations for treatment.  An ongoing contract with the Bureau of Land Management will cover the cost of treatment in October.  We anticipate a minimum of 7,500 acres to be mapped this fall. African Rue will be dormant in the winter before it reappears in early spring.  Any acres remaining will be mapped in the spring.",38 500,10 595,NA
2024-07-30T11:05:23MDT,98ca5167-3d68-4335-9ab0-a58e8dccf602,210,52.5,Scoring,Chaves Soil and Water Conservation District,Control of Noxious Weeds in Chaves County,49,1 409,49,"The focus of this project will focus on mechanical treatment in combination with chemical or herbicide treatments. The target species will be African Rue, Russian Knapweed, Salt Cedar and Scotch Thistle. Mapped African Rue populations have been treated with herbicide treatments and will continue to be treated by herbicides. Russian Knapweed has already been extensively mapped and with locations being numerous, the focus will be on mapping Salt cedar. Scotch Thistle has a concentrated population. The focus will be on preventing the plant from spreading and detecting any other population(s). The key to control of Russian Knapweed is to continuously stress it. Combination treatments of mechanical treatments (mastication), cultural (planting native species), and chemical (herbicide treatment) have been shown to have the best results on this species. Monitoring before and after treatment will determine how effective the treatments have been. Salt Cedar will be a challenge as cut-stump treatment is the preferred method. The preferred method to treat Salt Cedar is a combination treatment of chemical and mechanical treatment. All treatments will be monitored before and after implementation of methods mentioned above. Funding will go towards cut-stump treatment, herbicide application, and planting native species (native grass seed mix).",60 000,8 000,NA
