"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"1","Peganum harmala","2025-01-11 13:13:35 -0700","Seems untreated African rue on oil pad","Carlsbad, NM, US",32.5824133333,-104.0422971667,"","harmel","https://www.inaturalist.org/observations/258472397","https://inaturalist-open-data.s3.amazonaws.com/photos/463750520/medium.jpg","rjarquin",258472397,"harmel","Plantae",78374,0,0,"2025-01-11 13:13:35-07:00","2025-01-11","2025-01-11 20:13:35 UTC","Mountain Time (US & Canada)",2,2,"","open","false","","",775530,"Ria Jarquin-Lewis","2025-01-14 15:15:42 UTC","2025-01-18 06:48:19 UTC","research","CC-BY-NC",NA,3,"false"
"2","Peganum harmala","2024-11-28 09:51:29 -0700","Small bush like plant, long thin leaves almost needle like, dark green with yellowish coloration at the center, somewhat flexible stems.","Shreya St, El Paso, TX, US",31.7600883333,-106.2502833333,"","harmel","https://www.inaturalist.org/observations/253981800","https://inaturalist-open-data.s3.amazonaws.com/photos/454839235/medium.jpeg","fabriciouribe",253981800,"","Plantae",78374,0,0,"2024-11-28 09:51:29-07:00","2024-11-28","2024-11-28 16:51:29 UTC","Mountain Time (US & Canada)",2,2,"","open","false","","",1578385,"","2024-12-03 08:34:33 UTC","2024-12-03 11:11:15 UTC","needs_id","CC-BY-NC",NA,3,"false"
"3","Peganum harmala","2024-11-12 13:25:31 -0600","","Pecos, TX, US",31.4328216667,-103.475655,"","harmel","https://www.inaturalist.org/observations/251518695","https://inaturalist-open-data.s3.amazonaws.com/photos/450058396/medium.jpeg","donnawalkuski",251518695,"harmel","Plantae",78374,0,0,"2024-11-12 13:25:31-06:00","2024-11-12","2024-11-12 19:25:31 UTC","Central Time (US & Canada)",4,4,"","open","false","","",428737,"Donna Walkuski","2024-11-13 04:18:49 UTC","2025-01-18 06:35:30 UTC","research","CC-BY-NC-SA",NA,3,"false"
"4","Peganum harmala","2024-11-05 12:40:42 -0700","","Loving, NM 88256, USA",32.0063801,-103.7804639,"","harmel","https://www.inaturalist.org/observations/250640341","https://static.inaturalist.org/photos/448305387/medium.jpeg","gracemccartha",250640341,"harmel","Plantae",78374,0,0,"2024-11-05 12:40:42","2024-11-05","2024-11-05 19:40:42 UTC","Mountain Time (US & Canada)",NA,NA,"","open","false","gps","gps",1372768,"Grace McCartha","2024-11-06 03:14:16 UTC","2024-11-06 13:04:02 UTC","research","",NA,2,"false"
"5","Peganum harmala","2024-10-24 10:27:43 -0500","At disturbed Land ","Texas, US",31.8923111221,-103.8376590268,"","harmel","https://www.inaturalist.org/observations/248946503","https://inaturalist-open-data.s3.amazonaws.com/photos/444919805/medium.jpeg","tuff13",248946503,"harmel","Plantae",78374,0,0,"2024-10-24 10:27:43","2024-10-24","2024-10-24 15:27:43 UTC","Central Time (US & Canada)",3,29173,"obscured","open","true","","",770498,"","2024-10-24 22:44:00 UTC","2024-11-02 14:54:52 UTC","research","CC-BY-NC-ND",NA,2,"false"
"6","Peganum harmala","2024-10-23 09:21:23 -0500","Disturbed ROW","Texas, US",31.9213398446,-103.8299644305,"","harmel","https://www.inaturalist.org/observations/248810109","https://inaturalist-open-data.s3.amazonaws.com/photos/444651701/medium.jpeg","tuff13",248810109,"harmel","Plantae",78374,0,0,"2024-10-23 09:21:23","2024-10-23","2024-10-23 14:21:23 UTC","Central Time (US & Canada)",3,29173,"obscured","open","true","","",770498,"","2024-10-23 22:34:48 UTC","2025-01-18 06:48:58 UTC","research","CC-BY-NC-ND",NA,2,"false"
"7","Peganum harmala","2024-10-01 11:02:18 -0600","","Deming, NM, US",31.9063783333,-107.86383,"","harmel","https://www.inaturalist.org/observations/248198444","https://inaturalist-open-data.s3.amazonaws.com/photos/443427834/medium.jpeg","birdman164",248198444,"harmel","Plantae",78374,1,0,"2024-10-01 11:02:18-06:00","2024-10-01","2024-10-01 17:02:18 UTC","Mountain Time (US & Canada)",4,4,"","open","false","","",2161806,"","2024-10-20 03:25:44 UTC","2024-11-02 14:55:49 UTC","research","CC-BY-NC",NA,3,"false"
"8","Peganum harmala","2024-10-13 10:36:35 -0600","","Zanzibar Rd, El Paso, TX, US",31.775725,-106.3440166667,"","harmel","https://www.inaturalist.org/observations/247415145","https://static.inaturalist.org/photos/441886454/medium.jpeg","palenhart",247415145,"harmel","Plantae",78374,0,0,"2024-10-13 10:36:35-06:00","2024-10-13","2024-10-13 16:36:35 UTC","Mountain Time (US & Canada)",40,40,"","open","false","","",111147,"","2024-10-15 02:41:34 UTC","2024-10-19 12:49:43 UTC","research","",NA,3,"false"
"9","Peganum harmala","2022-05-02 10:52:00 -0600","","Alamogordo, NM 88310, USA",32.9217366667,-105.9254483333,"","harmel","https://www.inaturalist.org/observations/247378384","https://inaturalist-open-data.s3.amazonaws.com/photos/441809214/medium.jpg","timheaton",247378384,"harmel","Plantae",78374,0,0,"2022/05/02 10:52 AM","2022-05-02","2022-05-02 16:52:00 UTC","Mountain Time (US & Canada)",NA,NA,"","open","false","","",8373420,"","2024-10-14 21:31:48 UTC","2024-10-19 12:49:53 UTC","research","CC-BY-NC",NA,NA,"false"
"10","Peganum harmala","2019-04-20 09:51:00 -0600","","Holloman AFB, NM 88330, USA",32.8372233333,-106.0869583333,"","harmel","https://www.inaturalist.org/observations/242705213","https://inaturalist-open-data.s3.amazonaws.com/photos/432696048/medium.jpg","timheaton",242705213,"harmel","Plantae",78374,1,0,"2019/04/20 9:51 AM","2019-04-20","2019-04-20 15:51:00 UTC","Mountain Time (US & Canada)",NA,NA,"","open","false","","",8373420,"","2024-09-19 16:42:29 UTC","2024-09-19 16:48:14 UTC","research","CC-BY-NC",NA,NA,"false"
